id,FalseSent,OptionA,OptionB,OptionC
776,People usually enter houses through windows,Windows are usually used for ventilation and letting light in,Most houses have a lot of windows,Thieves usually enter houses through windows
777,People usually sleep in noisy places,noises wake people up,People usually rest by sleeping at night,People may dream while they are sleeping
778,You can see many people live in the water,water cannot provide air to humans,Some people build houses on the sea,You can see a lot of fish in the sea
779,Most people can afford luxury goods,Luxury goods are usually of better quality,Most wealthy people can afford luxury goods,Luxury goods usually have high prices
780,We need airplanes to go to the moon,We can go to other places on the earth by airplane,Aircraft can't fly out of the atmosphere,No life has been found on the moon
781,We can hear voices in the vacuum,Sound propagation Needs Medium,People can't live in the vacuum without spacesuits,We can hear voices in the air
782,People should throw banana peels on the ground,banana peels can make people slip down,People rarely eat banana peels,Some people with poor quality throw banana peel on the ground
783,People usually use electrical appliances with wet hands,The human body can also conduct electricity,water can conduct electricity which will lead to dangers,Electrical appliances need electric to work
784,People can't use plants to make paper,Plants contain a lot of fiber which can be used to make paper,People can use paper to make books,Paper and plants bear no resemblance in appearance
785,teenagers should smoke,Smoking may lead to poverty,Smoking damages humans' lungs,It's easy for people to buy cigarettes
786,people usually ask a waiter to cook,people can ask a waiter to offer the menu,waiters serve customers at their tables,a waiter usually has a good manner
787,Bees usually live in places with few flowers,the bee is a black and yellow flying insect that can sting,It hurts when humans are stung by bees,Bees need flowers to produce honey
788,People should believe what happens in their dreams,Not everyone dreams while sleeping,Sometimes people have strange dreams,Dreams are usually unrealistic
789,Most countries don't need troops,troops can protect the country,It costs a lot of money to build an army,Countries with armies are usually developing well
790,Pianists usually have inflexible fingers,Learning piano playing is an activity that combines both mental skills and action skills,Playing the piano requires constant and skilled use of fingers,The piano accompaniment is one form of performing art
791,we are usually allowed to smoke in Gas stations,People can smoke in the bathroom,Smoking may make others uncomfortable,Gasoline burns easily
792,People usually know what will happen in the future,People usually can know what happened in the past,People usually think they will be better in the future,The future is usually unpredictable
793,People like mice,Mice can spread diseases and bite things,Some people regard mice as pets,mice are usually afraid of humans
794,Shepherds usually like wolves,Wolves are usually social animals,Shepherds can eat wolf meat,Wolves will eat shepherds' sheep
795,People living in the desert often waste water,There is a lot of sand in the desert,There is little water in the desert,The leaves of desert plants are usually very small
796,Generally speaking taking notes is not a good habit,In the last century we usually took notes on paper,We can use a computer to take notes,Taking notes makes learning more efficient
797,Materialists believe in the existence of Jesus,Materialism can also be subdivided into many categories,Materialists refer to those who born in the family of Materialists,Materialists believe that there is no god in the world
798,Eating kelp with Onions is good for your health,Many people don't like to smell Onions,eating kelp with Onions may cause stones,Onions can be disinfected
799,We can use the ATM to get bank cards,when we finish operating we can get our cards back from the ATM,We can use the ATM to withdraw money,ATM does not have the function of offering bank cards
800,Software development doesn't cost money,There are fewer girls in the industry of software development,the software is virtual and Untouchable,Software development requires machine support and human resources
801,All the boys like girls on the sexual aspect,Girls might like girls,Boys like girls are in line with the traditional concept,Some boys like boys on the sexual aspect
802,We wear more clothes when the weather gets warmer,more clothes make it hard collocate them,It gets warmer from winter to spring,generally more clothes will make us hotter
803,It's healthier to drink river water,There are bacteria in the river water,There may be fish in the river,Rivers can be used to irrigate fields
804,Most of the goods are free,The production of goods may require many processes,Businesses sell goods for profit,Different kinds of goods are usually sold in different places
805,Keys are usually made of plastic,Plastic can be used to make chairs,Plastic is not durable for the key,Plastic can be used to make plastic bags
806,When the house stinks we don't want to clean it,Smelly rooms make it difficult to stay in,Cleaning is a good habit,Something might be broken when the house stinks
807,Milk can be drunk at room temperature for a month after being opened,Milk will spoil after it is opened at room temperature for a month,Drinking more milk is good for health,Milk contains a lot of nutrients needed by the human body and can be produced in batches
808,In order to protect the trees we should use less disposable paper towels,Trees can prevent soil erosion,To protect trees is to protect the future,Paper towels are made of grass
809,In ordinary times we can see the legendary dragon,The legendary dragon can call the wind and rain,Dragons are imaginary animals,The dragon is powerful
810,Copying homework is a good thing,In order to be comfortable we may copy our homework,The teacher will criticize us if he finds us copying our homework,Copying homework is a kind of irresponsible behavior for learning
811,Many people don't go bald as they get older,Baldness is common in old age due to genetic problems,Baldness is a common phenomenon and we should treat it with peace of mind,You can wear a wig if you're bald
812,"When we're laughing, we are usually sad",It is good to laugh often,We usually cry when we are sad,a joke may make you laugh for a whole day
813,The mouse is usually the core of a computer,A computer can function without a mouse,Wireless mouse can bring a lot of conveniences,The mouse makes the computer easier to use than with just a keyboard
814,It's good to get x-rays frequently,X-ray machines are expensive,Too much x-ray is harmful to the human body,X-rays can help doctors make auxiliary diagnoses
815,Taking too much medicine is a good thing,Some specific drugs will sell very expensive because of patent problems,Minor ailments can be treated with medication,Taking too much medicine is generally harmful to the body
816,"When we want to look out the window, we close the curtains",Curtains are usually made of cloth,Curtains can protect our privacy,Closing the curtains will obscure the Windows
817,When we want to log into a new website it's not necessary to register,Some websites have members who can get better service,You can't log in the new website without an account,You need an Internet connection to log into a website
818,We feel energetic after exercising for a long time,Exercise will bring you health,exercising for a long time make people tired,Daily exercise is important
819,people usually use water cup to retain meal,People usually use plates to fill meals,water cups are used to retain liquids,people can use water cap to retain coffee
820,The doctor usually goes to the hospital because they are sick,Doctors sometimes may get sick since they are humans,Doctors go to the hospital to cure others' illness,Doctors can help patients
821,When people encounter robbers they will call ambulances,There are usually doctors and nurses in ambulances,Ambulances usually drive very fast to save people,only the injured person needs to call an ambulance
822,People can play on the highway,There are many cars driving on the highway,There are usually a lot of fences along the highway,The ground on a highway is usually very smooth
823,People can't ask a guide for help when they travel,Tourist guides usually know the tourist attractions very well,the guide's job is to help tourists,It costs people money to hire guides
824,People can eat a lot of junk food,fast food usually is a kind of junk food,Eating junk food leads to obesity,junk food usually tastes good
825,People should pollute water resources,Polluted water is harmful to human,dropping litter carelessly may pollute water resources,Some chemical factories pollute water resources
826,Myopic people usually don't need glasses,Glasses usually consist of two pieces of glass and a frame,Glasses can help myopic people see clearly,People who often play with computers are likely to be myopic
827,parks are not suitable for walking around,People don't usually walk on the highway,The environment in parks is usually great,There are usually many trees in parks
828,People usually run without shoes,People can run faster with shoes,running without shoes must hurt your feet,now some brand shoes are more and more expensive
829,People usually wear clothes made of wood,clothes made of wood are rare,Wood can be used to make furniture,People can keep warm by wearing clothes
830,People can't send letters with pigeons,Pigeons usually have a sense of direction,Pigeons are a special kind of bird,Some people raise pigeons to eat their meat
831,People should eat a lot of sugar,Too much sugar can damage your teeth,Sugar is sweet and most people like it,Most children like eating sugar because of its sweet taste
832,it's easy for people without hearts to survive,one person will die quickly without the heart beating,The heart of a living person usually beats,the heart is a special organ in the human's chest
833,humans are usually casual to wild tigers,The tiger belongs to the cat family,Tigers and sheep have quite different natures,Wild tigers may attack humans
834,Snakes usually eat elephants,Elephants are much bigger than snakes,A snake can coil itself up or coil around a branch,Most people seem to be petrified of snakes
835,Most roads have no trees beside them,Trees can absorb vehicle exhaust,People usually cut trees to get wood,Most trees usually grow very slowly
836,humans breathe only with their noses,humans can breathe with their mouths,humans usually have only one nose on their face,humans usually smell through their noses
837,People can use computers in the shower,People usually use computers at work,Computers are not waterproof,People usually use the keyboard and mouse to control the computer
838,humans usually don't eat with their mouths,What people eat is digested in their stomach,humans usually have tongues in their mouths,Food must pass through the mouth to reach the stomach
839,Iron products are usually not sensitive to rain,Iron products are usually hard,Rain will rust iron,rain can't rust Stainless steel
840,People shouldn't feed monkeys bananas,Monkeys like bananas,Monkeys usually don't eat meat,it is easy for monkeys to climb trees
841,People usually wear sunglasses on rainy days,The sunshine is usually weak on rainy days,sunglasses contain a pair of glasses with almost dark glass in them,You can see people with sunglasses on the beach
842,People usually don't knock at the door before entering,it's polite to knock before going in,People don't have to knock when they enter their rooms,Sometimes you can enter without knocking at the door
843,People usually grab crab forceps,Crabs usually live in the water,Crab forceps can hurt people's hands,Crabs usually have many feet but only two crab forceps
844,Grass usually grows in winter,grass usually grows in a warm environment,Most grass will turn yellow in autumn,Some grass can grow in winter
845,I am so relaxed that I do not know what to say,when we are nervous we need to find a way to relax,people usually perform well when he is relaxed,playing computer games is so relaxed
846,we are going to watch the sunset tomorrow so you need to get up early,the sunset occurs at dusk,the sunset is beautiful,I watched the sunset with my mother yesterday
847,a chair can be used to lie,You can't lie in the street,I have two chairs in my bedroom,a chair is not big and broad enough
848,doing housework is a good way to entertain ourselves,it is tiring to do housework,my mother does housework every day,listening to music it a good way to entertain ourselves
849,I need water because I am hungry,you need to eat food when you are hungry,we need to drink water every day to keep healthy,I am not hungry
850,I love the play very much because it is terrible,I love the player very much because he is skillful,people prefer to watch good plays,the dinner Is terrible last night
851,this company makes a lot of money because of its outdated equipment,your equipment is outdated,his company makes a lot of money,outdated equipment is useless
852,there are many kinds of plants in Antarctica,Most plates will die in extreme climates,the Antarctica is not suitable for human to live in,the Antarctica is far away from us
853,Cosmetics can make me more ugly,there are different kinds of cosmetics,Cosmetics can cover up skin defects,staying up will make you become more ugly
854,Basketball is square,baseball is spherical not square,Basketball has no edges,I love playing basketball very much
855,the mirror is a part of the computer,the computer doesn't contain a mirror,I like looking in the mirror after I use the computer for a long time,a Keyboard is a part of a computer
856,this novel is too thin to finish quickly,I am too thin to play basketball well,I finished this novel quickly because I think it is interesting,the thinner the book is the shorter time it takes to read it
857,People can't make up in the bathroom,Girls usually buy a lot of cosmetics,it usually takes more than half an hour to make up,There is usually a mirror in the bathroom
858,People can talk loudly in hospitals,There are usually many doctors and nurses in hospitals,Families of patients usually visit patients in hospitals,Patients need a quiet environment to rest
859,You can see the living dragon,Dragon is fictional,People usually think dragons are powerful,People usually think that dragons can fly
860,Soldiers are usually very weak,weak people are not suitable to be soldiers,Soldiers are always used to the operating military,Soldiers usually need to wear military uniforms
861,People shouldn't drink tea,Tea leaves are usually picked from tea plants,Drinking tea is good for health,Most of the tea leaves are green
862,People should tell strangers the address of their families,People can find a person by his home address,People can tell friends about the address of their families,Family address is personal privacy
863,You can touch the software with your hands,the Software is virtual,There are usually bugs in the software,Computer programs are referred to as software
864,You can save drowning people if you can't swim,People who can swim may also drown,People who can't swim may drown,Drowning people may die from lack of oxygen
865,People should ignore their mistakes,people always make mistakes,some people can learn from their mistakes,Mistakes can lead to bad consequences
866,People usually see lightning on sunny days,Lightning usually occurs with clouds,Lightning is usually followed by thunder,Lightning is usually dangerous to human
867,People go to school for sleeping,School is the place to learn,There are many teachers and students in the school,People spend money to go to school
868,Doctors don't need to write papers,Doctors usually earn more money than ordinary people,Doctors are usually smarter than ordinary people,Doctors need papers to qualify themselves
869,People usually drive tanks at sea,Tanks usually have a metal and solid shell,Tanks cannot float on the sea,Tanks are usually used in warfare
870,People should destroy the collections in museums,Museums usually are extraordinary and have a lot of visitors,People usually need tickets to enter museums,collections in museums are precious and belong to the country
871,People usually hate pet dogs,Dogs are usually humans' friends,Dogs like to eat a lot of meat,Some dogs may bite humans
872,People can usually see chickens in the sky,Chickens have wings like other birds,Chickens can't fly,People raise chickens for their meat or eggs
873,People usually hate to travel,People usually spend money to travel,Traveling makes people relax,People usually spend a lot of time traveling
874,People can't judge the direction by the sun,people can judge the direction by compass,the sun moves from east to west in a day slowly,no one can reach the sun
875,Businessmen are usually rude to their guests,Businessmen don't want to irritate guests,A businessman is a person who makes a profit by buying and selling goods,Businessmen generally travel safely through the border
876,I can pass the shopping mall easily because it is crowded,I need to shop in the shopping mall,people move slowly when it is crowded,it is easy to buy something you love in the shopping mall
877,we cannot live without wine,there are many different kinds of wine,we cannot live without vegetables,some people do not drink wine
878,children are encouraged to be dishonest,dishonesty isn't good quality,children are encouraged to be kind to others,to be honest you are not good at playing basketball
879,Love is a terrible feeling,drinking too much makes me feel terrible,Everyone longs for love,my parents love me very much
880,water has the effect of making things dry,Water is liquid and makes things wet,the weather is so dry that I feel uncomfortable,we need to drink more water in hot days
881,we can drive without a driver's license,I drive very well because I drove for ten years,driving without a license is not allowed by law,you need to be focused when you are driving
882,People usually wear clothes when they take a bath,People usually bathe in warm water in winter,people usually wash the dirt off bodies with water when they take a bath,It's inconvenient to bathe in clothes
883,People should wash clean clothes,People usually use detergent to wash clothes,people wash clothes to make them clean,The washing machine can help people wash clothes
884,People usually drink river water,people can drink boiled or filtered water,people may get a tummy upset after drinking river water,Many creatures can be found in rivers
885,People hardly like gold,Gold is similar in color to brass,Gold is very valuable,gold's density is big
886,Students usually do their homework in bed,It's difficult to write while lying down,People usually sleep in bed at night,Writing homework is the bounden duty of students
887,Wheat is of no use to human beings,People usually harvest wheat in autumn,Wheat is grown in places which have cold winters and warm summers,wheat is a common food resource
888,Humans usually like eating mice,Mice usually carry pathogens,Cheese is really a good lure for mice,A mouse can gnaw a hole through wood
889,Children should play with knives,People can cut ropes with knives,knives may hurt children,Most knives are made of metal
890,People don't need to use air conditioning on a hot day,now air conditioning is cheap,air conditioning can keep the room cool,it needs electricity to use air conditioning
891,People are usually happy when they fall down,Falling down makes people hurt and embarrassed,People are often tripped over by stones,People are usually happy when they are rewarded
892,People need to work on holidays,People usually rest on holidays,People can travel on holidays,most People like holidays very much
893,People usually read books when they walk,reading books when walking is dangerous,People usually read books in quiet places,There are many people reading books in the library
894,People usually don't need condiments while cooking,Salt is a common condiment in people's kitchens,Too many condiments can make food tasteless,condiments are necessary for cooking
895,People usually feed tiger grass in zoos,Tigers are carnivores,People usually feed horses grass in zoos,there are usually many kinds of grass in tigers' habitats
896,People can usually see snow in the summer,Snow is usually white,It won't snow in hot weather,snow usually comes from nimbus clouds
897,Some people were born on February thirtieth,there are no thirtieth on February,People's birthdays are usually commemorative,There are many people who have the same birthday as you
898,People can open locked boxes directly,it needs keys to open the locked box,People usually put valuable things in locked boxes,Locked boxes are safe to put things in
899,It's hard for people to see their neighbors,People should be friendly to their neighbors,Neighbors live close to you,Most people have several neighbors
900,People usually pack food on hands,It is unsanitary to grasp food by hand,People should wash their hands before eating,People usually need to use their hands when they eat
901,people usually marry the one they hate,People usually marry the opposite sex,People marry because of love,Marriage is a very important thing in people's life
902,People usually go to the gym for eating,There is usually no food in gymnasiums,People can go to the gym to play basketball,People can go to the gym with friends
903,People usually go fishing in sand,There are usually small insects in the sand,fish don't live in the sand,people can go fishing in the lake
904,The temperature during the day is usually lower than at night,It's usually hotter when the sun is in the sky,The temperature in summer is usually higher than that in winter,People usually work during the day and rest at night
905,People usually dry their bodies with plastic,People can't throw away plastic products at will,plastic can't suck water,Plastics have been used widely
906,We can use the net to catch water,There are many holes in the net,People can use fishing nets to catch fish,People usually need to drink water every day
907,People can use calculators to make telephone calls,Computers usually compute faster than people,People can use calculators to calculate formulas,Calculators are not communication tools
908,The Earth revolves around the moon,the moon is smaller than the earth,The Moon is the Earth's Satellite,we cannot see the moon tonight
909,Beer contains gasoline,beer contains alcohol,Gasoline smells terrible,we need gasoline to drive a car
910,elephants are small animals,elephants are bigger than human,cats are very small animals,we know that elephants are very kind to human
911,we can see aliens in the zoo,aliens don't exist,we can see different kinds of aliens in the movie,we can see cats in the zoo
912,the stone is a kind of food,the stone contains no nutrition and can't be digested by people,the vegetable is a kind of food,there are many different kinds of stones
913,Models are usually very short,it is very tiring to be a model,my mother is a model and she can earn a lot of money,the short person is hard to show the beauty of the clothes
914,Books are made of stones,The stone is very hard,I read books every day,there are many different kinds of books
915,my bag is full of chairs,this chair is too heavy to carry,there are different kinds of books in my bag,the chair is bigger than the bag
916,the movie is so interesting that I fall asleep,the actor in the movie falls asleep because he is sleepy,I watch a comedy with my parents every weekend in the past three years,you will feel excited when you watch interesting movies
917,this land is so barren that trees grow well,the trees around my house grow well,this land is so barren that people cannot live there,Trees need a lot of nutrition to grow
918,this article is so long that I can read it easily,the street is so long that I take an hour to pass,it will cost lots of time to read long articles,I read different kinds of articles every day
919,it is safe to swim in the sea,uncontrolled things often happen in the sea,I go swimming with my parents every summer,there are many ships in the sea
920,The soldiers were very patriotic and they attack their country,the soldiers will not attack citizens,there are many university students joining the army to protect their country,it is soldiers' duty to protect their country
921,I live in the city for its fresh air,I believe the air will be better in the future,there is a lot of waste gas in the city,fresh air makes me more comfortable
922,he is so inexperienced that he finished the task quickly,I believe I will be an experienced engineer in ten years,the more inexperienced the person is the slower the task gets finished,he is so outstanding that he finished the task quickly
923,we need to be friendly to our enemies,my grandmother is so friendly that she has no enemy,We must be always on guard against the enemy,my father has several enemies
924,it is hopeless for you to be admitted by the famous university because you are so outstanding,MIT is a good school,everyone has a chance to be outstanding,a famous university prefers outstanding students
925,Masters need to serve their servants,the master is very kind to his servants,I hope one day I will have several servants to serve me,the master manipulates his servants
926,my house is a public place,my house is very big,a park is a public place because it is open to all people,strangers are not allowed to enter my house
927,most plants prefer to grow in the shadow,most plants grow well in my garden,most plants need photosynthesis,the Mushroom grows well in the shadow
928,When the room is very bright you want to turn on the light,The room is dark and probably opaque,you needn't turn on the light when there is bright enough,We might brighten the room by opening the curtains
929,you'd better not wash your hands after using the toilet,We may smell after using the toilet,If you don't wash your hands after using the toilet you may have germs on your hands,Washing hands is a good habit
930,You want to wear short sleeves outside in winter,If we wear short sleeves our arms will be exposed,We can wear short sleeves outside in summer,It's cold to wear short sleeves outside in winter
931,Diesel cars need no oil to run,Diesel cars were followed by new products such as electric cars,Diesel cars pollute the environment,The engine won't run without oil
932,The more blood you lose the healthier you'll be,Humans have bone marrow that makes blood,Too much blood loss leads to a lack of oxygen,Blood is an essential part of the human body
933,Drunk driving is a good habit,Drunk driving may lead to an accident,If you don't drink too much you won't have too many problems,The main ingredient of alcohol is ethanol
934,A magnet can attract aluminum,Aluminum cannot be magnetized,Aluminum is a very soft metal,Aluminum can be made into alloys
935,Papers can make walls,Papers are usually white,papers are too weak and fragile,Papers are light
936,We can brush our teeth with body wash,Body wash is liquid,Body wash is mostly scented,Body wash is used to clean the body
937,he used his mind to open the door,the mind can't be used to manipulate actual things,the door was locked and he couldn't open it,his mind was not as strong as his hand
938,he used water to cook a meal,fire is orange while water is colorless,food cooked with water is not delicious because they are not,fire provides a lot of energy to heat food
939,he drinks a cup of oil,he tries all kinds of drinks,oil is thick while coffee is thin,oil is not drinkable
940,she traveled to the Antarctic on foot,no man could walk across the ocean,walking is cheaper than an air ticket,she doesn't have wings
941,I love eating books,eating is quicker than reading,chefs don't know how to cookbooks,books are materials of knowledge and can't be eaten
942,after dinner he prepared the dishes,the dishes were eaten up,the dishes were eaten during dinner,he has a set of expensive tableware
943,he squeezed some lemonade from apples,lemons are sourer than apples,apples are red while lemons are yellow,lemonade can only be squeezed from lemons
944,he drank some hot water to cool down,only hot water is available winter,hot water cools down as time pass by,hot water adds extra heat in the human body
945,early in the morning he went out for dinner,people usually eat more for dinner than breakfast,the first meal people eat in the morning is called breakfast,he went out and exercised for a long time
946,she ate ice cream to relieve the pain,ice cream is not effective for pain,she wished to eat ice cream when she's in pain,ice cream melts quickly in hot days
947,the waiter paid the bill of a delicious meal,the guest ate the meal and therefore should pay for the meal,the guest ordered the meal but the waiter ate it,the waiter is generous
948,I love to drink soda of 20-year history,soda gives people a refreshing feeling,soda must have expired after 20 years,only soda is served at this 20-year history restaurant
949,as for lunch he took some pills,pills are smaller than buns,people don't eat medicine as meals,buns are soft while pills are hard
950,he brushed his teeth at school,he took a part in a play,people don't do washing outside home,he ate smelly food for lunch
951,his family drives a train to go on a trip,people take trains of the country,it takes a long time for a train to stop,the train is the only transportation to arrive at their destination
952,the desk is made of wool,wool is usually white while wood has many colors,the desk is specially designed for kids,wool is soft and resilient to damage
953,the carpet is made of wood,scientists found a new species of wood,wood is uncomfortable to step on,wood is a classic and popular element in decoration
954,shoes made of artificial leather are expensive,artificial leather protects wild animals,artificial leather suits different taste of the customer,it costs less to produce artificial leather
955,he came here tomorrow,things of tomorrow haven't happened,he didn't know the location,there will be a meeting tomorrow
956,rocks had fallen from beneath,rocks are everywhere on earth,rocks have mass so they naturally fall down,the shape of rock is irregular
957,she threw clean clothes into a washing machine,clean clothes don't need to be washed,she loves washing clothes,machine-washing is more efficient than hand-washing
958,people tell their future to the next generation,some people make up stories of their future,people don't foresee what's happening in the future,we believe some of our thoughts will come true in future
959,ancient people made tools of metal,ancient people didn't know about smelting,it's hard to recognize in ancient time,metals are extracted from all kinds of stones
960,I like to chase after bees,bees are smaller than butterflies,people don't chase after bees because bees bite,bees live in groups
961,he kicks a basketball on the ground,basketball is a sport playing with hands,a basketball is heavier than a football,basketball bounces on the ground
962,she read a fairy tale on the newspaper,newspaper doesn't have young readers,newspaper doesn't publish fairy tales,it's hard to write a fairy tale than to write a column
963,he put on his eyeglasses and listened to the radio,some people wear eyeglasses to look cool,eyeglasses provide better sight nowadays,eyeglasses don't make any sound
964,he ate cookies after going to bed,cookies are sweet and many people like it,cookies are good resources of energy,people don't eat when they are asleep
965,I opened my eyes and breathed heavily,air can't be seen by eyes,people can't inhale or exhale with their eyes,each person has two eyes
966,he married his dog,his dog was born in his house,after his marriage the dog died,a man usually marries a woman
967,he invited his girlfriend to his wedding,his girlfriend is good at hosting a wedding,in a wedding a man will marry his girlfriend,his girlfriend has never been invited to a wedding before
968,we need a month to get to the airport,airport within the city won't cost a month to reach,walking to the airport is quite slowly,the renovation of the airport took a month
969,the company starts offices all over the building,an office is started in this building,a room could not accommodate one office of a company,there's only one company has an office in this building
970,my family lives in a large box,I love to collect boxes at home,a box is too small for a family,box is necessary for our life
971,we said goodbye and met,people say goodbye when they apart,we often meet each other,I am not used to saying goodbye
972,I often walk my bag after dinner,people use bags to carry things,a bag has no life and cannot walk,my bag is very expensive so I protect it carefully
973,my arm hurts and it's very comfortable,when something hurts it won't be comfortable,I put my arm in a comfortable place,people remain in a comfortable position don't get hurt
974,I'm looking for a job as a mother,mothers also look for jobs,I am a mother and take care of my baby,mother is not a job
975,he got into his car and started to row,the sailor's car fell into the water but he managed to survive,he used to be a good sailor,car won't start with the action of rowing
976,running makes me feel full,he ate a lot before after he ran,running burns calories in food,it's unhealthy to eat before you run
977,she ate 30 hamburgers for lunch,she is heavier than the total weight of 30s hamburgers,hamburgers are expensive foods,a normal stomach can't hold 30 hamburgers
978,he rode a bike in the river,traffic in the river is good,bikes don't float on the river,the river is blue and it's his favorite color
979,he loves skating on water,water is liquid that people can't skate on,he drank water before he went skating,it's interesting to go skating
980,he started to work at the age of 2,a two-year-old baby can't even take care of himself,he was born in a poor family,his sister started to work at an early age
981,there are sixty teachers in this class,a class doesn't need so many teachers,several teachers retired recently,a student often dreamed of being a teacher
982,she turned on the light to sleep,people usually sleep in the dark,she bought a new light in the bedroom,the light makes her want to sleep
983,the farmer planted corn on his head,the head doesn't have enough space and nutrition to plant corn on,the farmer became bald as he got older,he has a bigger head than people around him
984,leaves became green in autumn,leaves age and no longer stay green in autumn,green leaves contain more water,leaves are green in summer
985,we missed the first bus and had to take a taxi,the first bus always carries a lot of people,taxi costs more than bus,there are many buses after the first bus
986,she made me a cup of cookies,cups are not containers for cookies,she knew I love cookies,I brought her a beautiful cup with cookie patterns
987,I bought snakes from the supermarket,I raised a snake as a pet,snakes are not sold in a supermarket,snakes dropped out of boxes in front of the supermarket
988,the apple grew under the tree,it takes several months for apple to grow up and mature,apple will fall after it matures,apple can't get water and nutrition under the tree
989,food can be cooked in a van,van can't be heated as a food container,the van driver is hungry,the van is full of food
990,he wrote a dictionary yesterday,he found a mistake in the dictionary,a dictionary is useful for learning languages,dictionary requires a lot of work and can't be written in one day
991,he lost all his money in donating,he bet all his money with a donor and he lost,he likes to participate in donating events,people don't donate each coin they have
992,he brought an exhibit from the museum,the exhibit is donated by him,he bought everything he likes,exhibits are not for sale
993,he scored the losing goal,a goal only makes the situation better,he made several scores before but they lost the game,it's hard to score a goal
994,we will watch the game on the radio,the award for the winner is a radio,radio is invisible,we love watching football games
995,he fell asleep in the tree,he hit his head on the tree and fell asleep,a tree is not suitable to sleep in,the tree was planted by him
996,drivers should not drive when they are energetic,people say he doesn't have much energy in driving,he drank too much energy drinks before driving,being energetic is a good condition for driving
997,I woke up and found an elephant in my pajama,elephants don't wear pajamas,pajama is too small to accommodate an elephant,I woke up earlier this morning
998,the new product catches readers' ear,this product is an earphone,the new product cures earache,"the ear can't see the new design, therefore, feel nothing about it"
999,they reached the top and climbed the mountain,they are all amateur mountaineers,the goal of climbing a mountain is to reach the top,the mountain top they reached is the highest around the world
1000,comb can cut hair,when people don't have comb they cut their hair,a comb isn't sharp enough to cut hair,hair needs to be cut once in a while
1001,we were told to keep noisy in the library,people shouldn't be noisy in libraries,it's quite noisy outside the library,the library was reconstructed into a noisy club
1002,the artist painted the handle to open the door,the handle on the door was broken,colors on the handle are of no use in opening the door,the artist wanted to enter the door of his studio
1003,the security officer robbed the bank,the security officer called the police and they came as soon as possible,security officers stop other people from robbing banks,the robbery happened during lunch break
1004,he passed the course three times,he didn't get enough credits to graduate,a course needs to be passed only once,his professor assigned a lot of tasks for him
1005,he put the money into his hat,a hat is not a proper place to put money in,he spent all his money on a new hat,he has a hat collection and he put a lot of money on it
1006,the new movie of the singer is released,people in a movie are called actors or actresses,the singer loves watching movies,a famous song may be picked as the theme song of a movie
1007,the police officer kissed the robber in the leg,it's the international kissing day that day,the police officer kissed his wife before he went to work,the police officer won't have any intimacy with a robber
1008,he saw a tiger at the hospital,tigers shouldn't appear in public places like hospitals,the doctor wears a t-shirt with the pattern of a tiger,the patient is injured by a tiger
1009,he swam in the fish tank,once when he swam he saw fish by his side,he bought a new fish tank,a fish tank is too small for a person to swim in
1010,he vowed to love her for the rest of day,a day is too short to make a vow,they have been married for 50 years,he got an incurable disease
1011,he skipped the final exam to pass the course,people won't get grades to pass the course if they skip the exam,he thought he would do well in the final exam,he has failed this course twice
1012,he felt depressed at the good news,he is the last one to know the good news,good news won't make people feel depressed,he told everyone the good news
1013,the writer won an award for his new movie,a movie is not written but filmed,his novel was adapted into a famous play,the writer won many international awards
1014,he took a photo of all human beings,everyone loves his photos,he is a photographer,it's hard to capture everyone on earth in one picture
1015,thank you for your selfish action,he stepped forward and helped other people,he has always been selfish and people got used to it,selfish actions are bad behaviors that are not appreciated
1016,the reporter awarded the Olympic champion,the champion and the reporter are good friends,reporters collect news and they don't award,Olympic champions are awarded specially designed medals
1017,the impressive speech was interrupted by hiss,hiss is made to bad presentations or expressions,he is good at delivering impressive speeches,the outstanding speaker was hissed for his absence
1018,he struggled to make his nightmare come true,he struggled to get some good sleep but always had nightmares,last night he had several nightmares,people tend to avoid things in nightmares happen
1019,he changed his job due to high salary,high salary attracts people to stick to their job,his friends got a higher salary than him,people suggest that he change his job for a better salary
1020,I got a stomachache and went to the dentist's,he went to this dentist's every time something's wrong with his teeth,dentists are usually not good at stomach diseases,the dentist invited me to lunch
1021,it took 7 days to receive the email,it's a long email,email is fast to deliver messages,the email was forwarded by a third party
1022,he ate a cake to celebrate her birthday,he loves eating cakes,some of the cake should be eaten by the birthday star,she invited him to come to her birthday party
1023,he escaped the bullet and died,he was hit by the bullet and was survived because it's not very serious,he was survived because there was no bullet in the gun,"if the bullet misses, the target won't be injured"
1024,the chalk read an interesting story to the students,chalks are lifeless and unable to read anything,the story is about a special chalk,students use chalk to write down interesting stories
1025,the treasure is inherited from his descendants,his descendants found the treasure left by his ancestors,his descendants fight to inherit his treasure,treasure can only be inherited from people born earlier
1026,he threw a plate for his dog to catch,he was angry at his dog so he threw a plate at it,a plate is too fragile to play with a dog,he threw some food in his dog's plate and it caught them all
1027,she put off running shoes before jogging,she has two pairs of running shoes for jogging,running shoes are necessary for jogging,she found her running shoes broken
1028,he continued to read the book to the first page,the book was read many times and the first page's gone,the book he read has many pages,pages come later have larger page numbers
1068,she got a bad grade after a semester of hard study,this semester she wasn't the 1st prize,she always gets a good grade in her study each semester,good grade can't be achieved in a short time
1148,chris lived at the bus stop,bus stop can't accommodate anyone,chris' house is near to the bus stop,chris always goes to work by bus
